name,datetime,tempmax,tempmin,tempavg,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ho Chi Minh,30-10-22,32.2,24,28.1,27,35.9,24,28.2,22.4,77.5,3.9,38.1,41.67,rain,0,0,14.8,9.7,28.3,1007,94,23.5,227.5,19.7,9,10,2022-10-30T05:43:59,2022-10-30T17:29:36,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
Ho Chi Minh,31-10-22,31.5,23.2,27.35,26.7,33.5,23.2,27.5,21.5,75.2,0.1,33.3,4.17,rain,0,0,21.2,14.8,7.8,1008.1,88.3,24.1,259.5,22.5,9,10,2022-10-31T05:44:12,2022-10-31T17:29:18,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Ho Chi Minh,01-11-22,32.3,23.9,28.1,26.9,35.2,23.9,28.3,22.3,77,2.4,47.6,50,rain,0,0,24.5,13.3,158.6,1008.9,91.6,23.8,222.6,19.2,9,10,2022-11-01T05:44:25,2022-11-01T17:29:00,0.26,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Ho Chi Minh,02-11-22,31.8,22.9,27.35,25.8,35.4,22.9,26.9,22.3,81.9,12.3,47.6,58.33,rain,0,0,32,12.2,153.5,1009.5,92.9,19.6,240.2,20.9,9,10,2022-11-02T05:44:39,2022-11-02T17:28:44,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Ho Chi Minh,03-11-22,31.9,22.8,27.35,26,34,22.8,26.9,21.8,79.1,0.8,47.6,12.5,rain,0,0,30.6,12.6,116.7,1010,51,24,250.9,21.6,9,10,2022-11-03T05:44:54,2022-11-03T17:28:28,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Ho Chi Minh,04-11-22,32.1,23.3,27.7,26.3,35.4,23.3,27.5,22.1,79,1.7,47.6,16.67,rain,0,0,28,11.5,100,1010.9,21.2,24.1,223.8,19.2,8,30,2022-11-04T05:45:09,2022-11-04T17:28:13,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,05-11-22,33.7,23.7,28.7,27.1,38,23.7,28.5,22.7,78.5,6,71.4,16.67,rain,0,0,20.9,10.1,131,1011.3,43.5,20.8,257.8,22.2,9,30,2022-11-05T05:45:25,2022-11-05T17:28:00,0.45,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
Ho Chi Minh,06-11-22,30.8,24.3,27.55,27,36.1,24.3,29,23.4,81.2,8.5,57.1,20.83,rain,0,0,20.2,9.7,225.1,1010.6,88.9,21.6,246.8,21.3,8,60,2022-11-06T05:45:41,2022-11-06T17:27:47,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,07-11-22,33,24.5,28.75,27.4,37.3,24.5,29.3,23.3,79.8,5.7,61.9,16.67,rain,0,0,20.2,9.7,273.4,1009.9,89.5,23.9,238.5,20.4,8,60,2022-11-07T05:45:59,2022-11-07T17:27:36,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,08-11-22,32.3,24.1,28.2,27.1,36.8,24.1,28.9,23.3,80.8,6.6,66.7,20.83,rain,0,0,20.2,9.7,169.1,1009,76.7,21.9,254.8,22.2,9,60,2022-11-08T05:46:17,2022-11-08T17:27:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,09-11-22,31.1,24,27.55,26.8,36,24,28.7,23.4,82.2,4.4,57.1,16.67,rain,0,0,15.8,8.3,141.7,1009.9,87.1,22.7,246.4,21.3,9,60,2022-11-09T05:46:35,2022-11-09T17:27:16,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,10-11-22,31.2,24.1,27.65,27,35.2,24.1,28.6,23,79.8,1.3,57.1,12.5,rain,0,0,13.7,9,68.9,1010.6,99,22.3,179.6,15.8,7,30,2022-11-10T05:46:54,2022-11-10T17:27:07,0.53,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Ho Chi Minh,11-11-22,32.8,24.1,28.45,27,37.2,24.1,28.6,23.1,80.3,7.5,81,12.5,rain,0,0,15.5,9.4,105.7,1008.9,82.2,20.7,225,19.5,8,60,2022-11-11T05:47:14,2022-11-11T17:27:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,12-11-22,30.3,24,27.15,26.5,35.5,24,28.2,23.4,83.9,10.5,61.9,16.67,rain,0,0,22,9,78.1,1008.5,93.3,21.6,225.8,19.4,8,60,2022-11-12T05:47:35,2022-11-12T17:26:54,0.58,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
phan thiet,01-11-22,28.7,22.1,25.4,24.4,31.3,22.1,25,21.6,85.4,3.1,100,50,rain,0,0,10.8,11.5,148.3,1009.5,99.9,22.9,195.9,16.7,7,10,2022-11-01T05:38:58,2022-11-01T17:23:15,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
phan thiet,02-11-22,28.2,22,25.1,24,30.1,22,24.4,20.9,83.3,1.2,85.7,25,rain,0,0,13.3,9.4,97.7,1010.2,98.5,23.8,191.6,16.6,8,10,2022-11-02T05:39:13,2022-11-02T17:22:58,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
phan thiet,03-11-22,28.3,21.1,24.7,24.2,30.6,21.1,24.8,20.9,82.8,1.3,52.4,25,rain,0,0,21.2,14.4,87.5,1010.8,89.7,23.9,236.6,20.3,8,10,2022-11-03T05:39:27,2022-11-03T17:22:42,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
phan thiet,04-11-22,29.9,22.6,26.25,25.1,32.2,22.6,25.7,21,79,1.7,71.4,37.5,rain,0,0,17.3,14.4,100.9,1011.6,76.9,23.7,255.3,22,9,10,2022-11-04T05:39:43,2022-11-04T17:22:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
phan thiet,05-11-22,29.6,21.7,25.65,24.6,32.3,21.7,25.4,21.5,83.9,3.8,57.1,45.83,rain,0,0,11.5,10.1,148.8,1012.4,79.7,22,242.3,20.9,9,10,2022-11-05T05:39:59,2022-11-05T17:22:14,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
phan thiet,06-11-22,30.2,21.8,26,24.9,32.6,21.8,25.7,21.2,81.2,0.4,52.4,8.33,rain,0,0,9.4,12.6,191.2,1011.8,65.6,24.1,259.3,22.5,9,10,2022-11-06T05:40:16,2022-11-06T17:22:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
phan thiet,07-11-22,30.8,21.5,26.15,25.2,32.5,21.5,25.9,20.6,77,0.3,57.1,12.5,rain,0,0,7.9,13,173.2,1010.9,77.3,24.1,265.9,23.1,9,10,2022-11-07T05:40:33,2022-11-07T17:21:49,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
phan thiet,08-11-22,31.3,22,26.65,25.6,33.4,22,26.5,20.8,76,0.1,42.9,4.17,rain,0,0,11.5,14.8,175,1010,93.3,24.1,254.3,21.9,9,10,2022-11-08T05:40:51,2022-11-08T17:21:38,0.5,Overcast,Cloudy skies throughout the day.,cloudy,
phan thiet,09-11-22,31.1,22.3,26.7,25.9,33.2,22.3,26.7,21.1,76.5,0.9,76.2,8.33,rain,0,0,13.7,14.4,128.9,1010.3,80.7,24.1,241.3,20.7,8,30,2022-11-09T05:41:10,2022-11-09T17:21:28,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
phan thiet,10-11-22,31.5,22.4,26.95,26.1,34.3,22.4,27.1,21.4,76.8,0.5,61.9,8.33,rain,0,0,17.6,16.6,119.1,1010.3,34.7,24.1,261.8,23.1,9,30,2022-11-10T05:41:30,2022-11-10T17:21:20,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
phan thiet,11-11-22,31.8,22.5,27.15,26.3,34.4,22.5,27.4,21.6,77.1,1.1,47.6,8.33,rain,0,0,13.3,16.2,167,1010,60.6,24.1,236.8,20.7,8,30,2022-11-11T05:41:50,2022-11-11T17:21:12,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
phan thiet,12-11-22,32.4,22.5,27.45,26.3,34.6,22.5,27.3,21.3,75.9,0.4,47.6,12.5,rain,0,0,14.4,14.4,201.3,1009.4,95.8,24.1,240.1,20.7,9,10,2022-11-12T05:42:11,2022-11-12T17:21:06,0.58,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,
phan thiet,13-11-22,31.3,22.5,26.9,25.8,34,22.5,26.6,21.5,78.9,1.8,57.1,12.5,rain,0,0,12.6,17.3,199.1,1008.8,95.4,23.3,187.9,16.2,7,10,2022-11-13T05:42:32,2022-11-13T17:21:00,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
phan thiet,14-11-22,29.9,22.4,26.15,25.1,32.6,22.4,25.9,21.6,82.3,3.5,71.4,16.67,rain,0,0,7.2,9.7,236.4,1009.3,100,23.2,162,13.8,7,30,2022-11-14T05:42:54,2022-11-14T17:20:56,0.66,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
phan thiet,15-11-22,27.6,22.2,24.9,24.3,30,22.2,24.8,21.7,85.8,1.5,61.9,12.5,rain,0,0,6.1,6,117.2,1009.6,97.8,23.9,90.9,8.1,4,10,2022-11-15T05:43:17,2022-11-15T17:20:53,0.7,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,
